
Brock,Pewter_City_Gym_Leader,Pewter_City,Kanto,The_Rock-Solid_Pokemon_Trainer
Misty,Cerulean_City_Gym_Leader,Cerulean_City,Kanto,The_Tomboyish_Mermaid
Lt._Surge,Vermilion_City_Gym_Leader,Vermilion_City,Kanto,The_Lightning_Lieutenant
Erika,Celadon_City_Gym_Leader,Celadon_City,Kanto,The_Nature-Loving_Princess
Koga_,Fuchsia_City_Gym_Leader,Fuchsia_City,Kanto,The_Poisonous_Ninja_Master
Sabrina,Saffron_City_Gym_Leader,Saffron_City,Kanto,The_Master_of_Psychic_Pokemon
Blaine,Cinnabar_Island_Gym_Leader,Cinnabar_Island,Kanto,The_Hotheaded_Quiz_Master
Giovanni_,Viridian_City_Gym_Leader,Viridian_City,Kanto,The_Self-Proclaimed_Strongest_Trainer
Lorelei,Elite_Four,Indigo_Plateau,Kanto,The_Ice-Type_Specialist
Bruno,Elite_Four,Indigo_Plateau,Kanto,The_Fighting-Type_Specialist
Agatha,Elite_Four,Indigo_Plateau,Kanto,The_Ghost-Type_Specialist
Lance,Elite_Four,Indigo_Plateau,Kanto,The_Dragon-Type_Specialist
Blue,Champion,Indigo_Plateau,Kanto,The_Hotheaded_Rival
Falkner,Violet_City_Gym_Leader,Violet_City,Johto,The_Elegant_Master_of_Flying_Pokemon
Bugsy,Azalea_Town_Gym_Leader,Azalea_Town,Johto,The_Walking_Bug_Pokemon_Encyclopedia
Whitney,Goldenrod_City_Gym_Leader,Goldenrod_City,Johto,The_Incredibly_Pretty_Girl
Morty,Ecruteak_City_Gym_Leader,Ecruteak_City,Johto,The_Mystic_Seer_of_the_Future
Chuck,Cianwood_City_Gym_Leader,Cianwood_City,Johto,His_Roaring_Fists_Do_the_Talking
Jasmine,Olivine_City_Gym_Leader,Olivine_City,Johto,The_Steel-Clad_Defense_Girl
Pryce,Mahogany_City_Gym_Leader,Mahogany_Town,Johto,The_Teacher_of_Winter's_Harshness
Clair,Blackthorn_City_Gym_Leader,Blackthorn_City,Johto,The_Blessed_User_of_Dragon_Pokemon
Will,Elite_Four,Indigo_Plateau,Kanto,The_Psychic-type_Specialist
Koga_,Elite_Four,Indigo_Plateau,Kanto,The_Poisonous_Ninja_Master
Buno,Elite_Four,Indigo_Plateau,Kanto,The_Fighting-Type_Specialist
Karen,Elite_Four,Indigo_Plateau,Kanto,The_Dark-Type_Specialist
Lance,Champion,Indigo_Plateau,Kanto,The_Dragon-Type_Master
Oak,Professor,Pallet_Town,Kanto,The_Pokemon_Professor
Elm,Professor,New_Bark_Town,Johto,The_Leading_Mind_on_Pokemon_Growth
